product_id,product_name,discounted_price,actual_price,discount_percentage,rating,rating_count,rating_weighted,category_1,category_2,rating_score,difference_price,neg,neu,pos,compound
B078HG2ZPS,"Butterfly Smart Wet Grinder, 2L (White) with Coconut Scrapper Attachment, Output - 150 W, Input 260 W",3657.66,5156.0,0.29,3.9,12837.0,50064.299999999996,Home & Kitchen,Kitchen & Home Appliances,Neutral,1498.3400000000001,0.0,0.357,0.643,0.9936
B07N2MGB3G,"AGARO Marvel 9 Liters Oven Toaster Griller, Cake Baking OTG (Black)",1699.0,1999.0,0.15,4.1,8873.0,36379.299999999996,Home & Kitchen,Kitchen & Home Appliances,Satisfied,300.0,0.025,0.507,0.467,0.9986
B008LN8KDM,Philips GC1920/28 1440-Watt Non-Stick Soleplate Steam Iron,1849.0,2095.0,0.12,4.3,7681.0,33028.299999999996,Home & Kitchen,Kitchen & Home Appliances,Satisfied,246.0,0.052,0.521,0.427,0.9938
B08MZNT7GP,Havells OFR 13 Wave Fin with PTC Fan Heater 2900 Watts (Black),12499.0,19825.0,0.37,4.1,322.0,1320.1999999999998,Home & Kitchen,"Heating, Cooling & Air Quality",Satisfied,7326.0,0.099,0.652,0.249,0.9895
B009P2L7CO,"Bajaj DHX-9 1000W Heavy Weight Dry Iron with Advance Soleplate and Anti-Bacterial German Coating Technology, Ivory",1099.0,1920.0,0.43,4.2,9772.0,41042.4,Home & Kitchen,Kitchen & Home Appliances,Satisfied,821.0,0.055,0.36,0.586,0.9818
B07YC8JHMB,"Aquasure From Aquaguard Amaze RO+UV+MTDS,7L storage water purifier,suitable for borewell,tanker,municipal water (Grey) from Eureka Forbes",8199.0,16000.0,0.49,3.9,18497.0,72138.3,Home & Kitchen,Kitchen & Home Appliances,Neutral,7801.0,0.122,0.641,0.238,0.9825
B0BNQMF152,"ROYAL STEP Portable Electric USB Juice Maker Juicer Bottle Blender Grinder Mixer,6 Blades Rechargeable Bottle with (MULTII) (MULTI COLOUR 6 BLED JUICER MIXER)",499.0,2199.0,0.77,3.7,53.0,196.10000000000002,Home & Kitchen,Kitchen & Home Appliances,Neutral,1700.0,0.155,0.48,0.365,0.9825
B08J7VCT12,"KENT 16068 Zoom Vacuum Cleaner for Home and Car 130 W | Cordless, Hoseless, Rechargeable HEPA Filters Vacuum Cleaner with Cyclonic Technology | Bagless Design and Multi Nozzle Operation | Blue",6999.0,14999.0,0.53,4.1,1728.0,7084.799999999999,Home & Kitchen,Kitchen & Home Appliances,Satisfied,8000.0,0.028,0.606,0.366,0.991
B0989W6J2F,ENEM Sealing Machine | 12 Inch (300 mm) | 1 Year Warranty | Full Customer Support | Beep Sound Function | Plastic Packing Machine | Plastic Bag Sealing Machine | Heat Sealer Machine | Plastic Sealing Machine | Blue | Made in India,1595.0,1799.0,0.11,4.0,2877.0,11508.0,Home & Kitchen,Kitchen & Home Appliances,Satisfied,204.0,0.015,0.433,0.552,0.9973
B0B84KSH3X,Wipro Vesta 1200 Watt GD203 Heavyweight Automatic Dry Iron| Quick Heat Up| Anti bacterial German Weilburger Double Coated Black Soleplate |2 Years Warranty,1049.0,1950.0,0.46,3.8,250.0,950.0,Home & Kitchen,Kitchen & Home Appliances,Neutral,901.0,0.032,0.504,0.464,0.9906
B08HLC7Z3G,"Inalsa Electric Kettle Prism Inox - 1350 W with LED Illumination & Boro-Silicate Body, 1.8 L Capacity along with Cordless Base, 2 Year Warranty (Black)",1182.0,2995.0,0.61,4.2,5178.0,21747.600000000002,Home & Kitchen,Kitchen & Home Appliances,Satisfied,1813.0,0.038,0.685,0.277,0.9944
B0BN6M3TCM,"VRPRIME Lint Roller Lint Remover for Clothes, Pet | 360 Sheets Reusable Sticky Easy-Tear Sheet Brush for Clothes, Furniture, Carpet, Dog Fur, Sweater, Dust & Dirt (4 Rolls - 90 Sheet Each Roll)",499.0,999.0,0.5,4.6,79.0,363.4,Home & Kitchen,Kitchen & Home Appliances,Satisfied,500.0,0.0,0.587,0.413,0.9976
B01L6MT7E0,"Philips AC1215/20 Air purifier, removes 99.97% airborne pollutants, 4-stage filtration with True HEPA filter (white)",8799.0,11995.0,0.27,4.1,4157.0,17043.699999999997,Home & Kitchen,"Heating, Cooling & Air Quality",Satisfied,3196.0,0.057,0.76,0.183,0.9983
